Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
Monowai,îles Cermadec,Océanie,,0,2002,Hydrophonic;
Telica,Nicaragua,Amérique du Nord,,0,2002,Historical Observations;
Heard,Australie,Océanie,Mawson Peak,0,2003,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,2003,Historical Observations;
Northern EPR at 10.7°N,Hawaï,Amérique du Nord,,0,2003,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,2003,Hydrophonic;
NW Rota-1,Nicaragua,Amérique du Nord,Upper South flank (Brimstone Pit),0,2003,Historical Observations;
Vailulu'u,Océan Pacifique,Océanie,West side of caldera (Nafanua),0,2003,Historical Observations;
"Fournaise, Piton de la,île de la Réunion,Afrique,""SSW of Bory, Dolomieu and east flank"",0,2004,Historical Observations";
Ibu,Indonésie,Asie,,0,2004,Historical Observations;
Nightingale Island,Islande,Europe,Submarine SE flank,0,2004,Historical Observations;
McDonald Islands,Australie,Océanie,,0,2005,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,2005,Historical Observations;
Northern EPR at 9.8°N,Hawaï,Amérique du Nord,East Pacific Rise (9.8 deg N),0,2005,Historical Observations;
"Fournaise, Piton de la,île de la Réunion,Afrique,""North side of caldera (1600, 1200, & 450 m)"",0,2005,Historical Observations";
"Fournaise, Piton de la,île de la Réunion,Afrique,""Dolomieu, N and NE flanks"",0,2005,Historical Observations";
Monowai,îles Cermadec,Océanie,,0,2005,Hydrophonic;
Mayon,Philippines,Asie,,0,2005,Historical Observations;
Heard,Australie,Océanie,Mawson Peak,0,2006,Historical Observations;
Karthala,Comores,Afrique,Chahalé crater,0,2006,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,Old Crater,0,2006,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,2006,Hydrophonic;
Ontakesan,Japon,Asie,1979 Crater #7,0,2007,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,Old Crater,0,2008,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,2008,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,2008,Hydrophonic;
Rumble III,Nouvelle-Zélande,Océanie,,0,2008,Historical Observations;
Tafu-Maka,Tonga,Océanie,Maka,0,2008,Historical Observations;
West Mata,Tonga,Océanie,Prometheus and Hades vents,0,2008,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,2009,Hydrophonic;
Dallol,Ethiopie,Afrique,Dallol crater,0,2011,Historical Observations;
Axial Seamount,Océan Pacifique,Amérique du Nord,E caldera rim to 10 km S,0,2011,Historical Observations;
Lengai, Ol Doinyo,Tanzanie,Afrique,,0,2011,Historical Observations;
Heard,Australie,Océanie,Mawson Peak,0,2012,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,2012,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,2012,Hydrophonic;
Chirpoi,Russie,Europe,Snow,0,2012,Historical Observations;
Iliwerung,Indonésie,Asie,Hobal (submarine vent on SE flank),0,2013,Historical Observations;
Mariana Back-Arc Segment at 15.5°N,USA,Amérique du Nord,Along a 10 km N-S line at 15.4°N,0,2013,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,Enclos Fouqué,0,2014,Historical Observations;
Bardarbunga,Islande,Europe,Holuhraun,0,2014,Historical Observations;
Mayon,Philippines,Asie,Summit crater,0,2014,Historical Observations;
Nyamuragira,République démoctratique du Congo,Afrique,,0,2014,Historical Observations;
Ahyi,USA,Amérique du Nord,,0,2014,Hydrophonic;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,2015,Historical Observations;
Saunders,Géorgie du Sud,Antarctique,,0,2015,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,,0,2015,Historical Observations;
Axial Seamount,Océan Pacifique,Amérique du Nord,NE flank,0,2015,Seismicity;
Cleveland,Alaska,Amérique du Nord,,0,2016,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,Château Fort crater,0,2016,Historical Observations;
Fournaise, Piton de la,île de la Réunion,Afrique,,0,2016,Historical Observations;
Nyamuragira,République démoctratique du Congo,Afrique,,0,2016,Historical Observations;
Planchon-Peteroa,Chili,Amérique du Sud,Petoroa (1889-94 crater),1,1960,Historical Observations;
Akan,Japon,Asie,Me-Akan (Ponmachineshiri),1,1960,Historical Observations;
Asosan,Japon,Asie,Naka-dake,1,1960,Historical Observations;
Nasudake,Japon,Asie,Chausu-dake (50 m north of 1953 vent),1,1960,Historical Observations;
"Ambrym,Vanuatu,Océanie,""Mbuelesu, Benbow, near Marum"",1,1960,Historical Observations";
Villarrica,Chili,Amérique du Sud,,1,1961,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,Halemaumau,1,1961,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,Halemaumau,1,1961,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,Halemaumau,1,1961,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (395-790 m),1,1961,Historical Observations;
Tangkubanparahu,Indonésie,Asie,,1,1961,Historical Observations;
Tokachidake,Japon,Asie,NW of Kami-Horokamettoku-yama,1,1961,Historical Observations;
Colima,Mexique ,Amérique du Nord,,1,1961,Historical Observations;
Negro, Cerro,Nicaragua,Amérique du Nord,NE-flank fissure,1,1961,Historical Observations;
Chikurachki,Russie,Europe,,1,1961,Historical Observations;
Planchon-Peteroa,Chili,Amérique du Sud,Peteroa,1,1962,Historical Observations;
Lokon-Empung,Indonésie,Asie,Tompaluan,1,1962,Historical Observations;
Akan,Japon,Asie,Me-Akan (Nakamachineshiri),1,1962,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1962,Historical Observations;
Niigata-Yakeyama,Japon,Asie,,1,1962,Historical Observations;
Telica,Nicaragua,Amérique du Nord,,1,1962,Historical Observations;
Tolbachik,Russie,Europe,,1,1962,Historical Observations;
Asosan,Japon,Asie,Naka-dake,1,1963,Historical Observations;
Nasudake,Japon,Asie,Chausu-dake (west side),1,1963,Historical Observations;
Niigata-Yakeyama,Japon,Asie,,1,1963,Historical Observations;
Niigata-Yakeyama,Japon,Asie,,1,1963,Historical Observations;
Colima,Mexique ,Amérique du Nord,,1,1963,Historical Observations;
Concepcion,Nicaragua,Amérique du Nord,,1,1963,Historical Observations;
Negro, Cerro,Nicaragua,Amérique du Nord,,1,1963,Historical Observations;
Bezymianny,Russie,Europe,,1,1963,Historical Observations;
Ebeko,Russie,Europe,North wall of east amphitheater,1,1963,Historical Observations;
Klyuchevskoy,Russie,Europe,,1,1963,Historical Observations;
Dieng Volcanic Complex,Indonésie,Asie,Sileri,1,1964,Historical Observations;
Nila,Indonésie,Asie,,1,1964,Historical Observations;
